date,prefecture,average
2018/10/4,kushiro,12.7
2018/10/5,nagoya,23.4
2018/10/5,kobe,24.2
2018/10/5,kushiro,12.6
2018/10/6,nagoya,25.3
2018/10/6,kobe,26
2018/10/6,kushiro,13.6
2018/10/7,nagoya,24.4
2018/10/7,kobe,25.2
2018/10/7,kushiro,12.3
2018/10/8,nagoya,22.4
2018/10/8,kobe,23.4
2018/10/8,kushiro,13.4
2018/10/9,nagoya,22.3
2018/10/9,kobe,23.3
2018/10/9,kushiro,13.7
2018/10/10,nagoya,21
2018/10/10,kobe,21.3
2018/10/10,kushiro,13
2018/10/11,nagoya,20.1
2018/10/11,kobe,18.5
2018/10/11,kushiro,14.1
2018/10/12,nagoya,18.5
2018/10/12,kobe,18.1
2018/10/12,kushiro,14.1
2018/10/13,nagoya,18.4
2018/10/13,kobe,18.8
2018/10/13,kushiro,11.9
2018/10/14,nagoya,18.9
2018/10/14,kobe,20
2018/10/14,kushiro,10.5
2018/10/15,nagoya,16.8
2018/10/15,kobe,20.1
2018/10/15,kushiro,10.7
2018/10/16,nagoya,16.7
2018/10/16,kobe,19.7
2018/10/16,kushiro,11.2
2018/10/17,nagoya,18.6
2018/10/17,kobe,19.6
2018/10/17,kushiro,9.2
2018/10/18,nagoya,18.7
2018/10/18,kobe,19.4
2018/10/18,kushiro,8.9
2018/10/19,nagoya,18.6
2018/10/19,kobe,19.6
2018/10/19,kushiro,8.3
2018/10/20,nagoya,16.7
2018/10/20,kobe,17.6
2018/10/20,kushiro,8.7
2018/10/21,nagoya,16.7
2018/10/21,kobe,17.1
2018/10/21,kushiro,9.4
2018/10/22,nagoya,16.9
2018/10/22,kobe,18.7
2018/10/22,kushiro,9.7
2018/10/23,nagoya,16.3
2018/10/23,kobe,18.8
2018/10/23,kushiro,11.5
2018/10/24,nagoya,18.4
2018/10/24,kobe,19.3
2018/10/24,kushiro,12.3
2018/10/25,nagoya,17.6
2018/10/25,kobe,18.1
2018/10/25,kushiro,11.7
2018/10/26,nagoya,17.7
2018/10/26,kobe,18.9
2018/10/26,kushiro,10.5
