datetime,stockprice,price
2018/4/16,lowprice,6885
2018/4/16,tradevolum,3065900
2018/4/17,openingprice,6896
2018/4/17,closingprice,6892
2018/4/17,highprice,6939
2018/4/17,lowprice,6882
2018/4/17,tradevolum,3297200
2018/4/18,openingprice,6912
2018/4/18,closingprice,6937
2018/4/18,highprice,6975
2018/4/18,lowprice,6896
2018/4/18,tradevolum,3893400
2018/4/19,openingprice,6980
2018/4/19,closingprice,6923
2018/4/19,highprice,7008
2018/4/19,lowprice,6923
2018/4/19,tradevolum,3938900
2018/4/2,openingprice,6833
2018/4/2,closingprice,6779
2018/4/2,highprice,6870
2018/4/2,lowprice,6779
2018/4/2,tradevolum,2966000
2018/4/20,openingprice,6931
2018/4/20,closingprice,6957
2018/4/20,highprice,6984
2018/4/20,lowprice,6915
2018/4/20,tradevolum,3310300
2018/4/23,openingprice,6995
2018/4/23,closingprice,6970
2018/4/23,highprice,7008
2018/4/23,lowprice,6960
2018/4/23,tradevolum,2607900
2018/4/24,openingprice,7039
2018/4/24,closingprice,7110
2018/4/24,highprice,7115
2018/4/24,lowprice,7035
2018/4/24,tradevolum,4631400
2018/4/25,openingprice,7090
2018/4/25,closingprice,7168
2018/4/25,highprice,7170
2018/4/25,lowprice,7054
2018/4/25,tradevolum,4575700
2018/4/26,openingprice,7195
2018/4/26,closingprice,7169
2018/4/26,highprice,7243
2018/4/26,lowprice,7156
2018/4/26,tradevolum,4506800
2018/4/27,openingprice,7220
2018/4/27,closingprice,7181
2018/4/27,highprice,7241
2018/4/27,lowprice,7158
2018/4/27,tradevolum,4591900
2018/4/3,openingprice,6705
2018/4/3,closingprice,6730
2018/4/3,highprice,6751
2018/4/3,lowprice,6687
2018/4/3,tradevolum,4826000
2018/4/4,openingprice,6750
2018/4/4,closingprice,6739
2018/4/4,highprice,6770
2018/4/4,lowprice,6704
2018/4/4,tradevolum,5303100
2018/4/5,openingprice,6785
2018/4/5,closingprice,6750
2018/4/5,highprice,6809
2018/4/5,lowprice,6737
2018/4/5,tradevolum,5784700
2018/4/6,openingprice,6765
2018/4/6,closingprice,6728
2018/4/6,highprice,6817
2018/4/6,lowprice,6725
2018/4/6,tradevolum,4857900
2018/4/9,openingprice,6720
2018/4/9,closingprice,6741
2018/4/9,highprice,6762
2018/4/9,lowprice,6693
2018/4/9,tradevolum,3798600
2018/5/1,openingprice,7181
2018/5/1,closingprice,7195
2018/5/1,highprice,7218
2018/5/1,lowprice,7156
2018/5/1,tradevolum,3363500
2018/5/10,openingprice,7490
2018/5/10,closingprice,7592
2018/5/10,highprice,7609
2018/5/10,lowprice,7486
2018/5/10,tradevolum,14684300
2018/5/11,openingprice,7592
2018/5/11,closingprice,7543
2018/5/11,highprice,7686
2018/5/11,lowprice,7520
2018/5/11,tradevolum,7947100
2018/5/14,openingprice,7492
2018/5/14,closingprice,7560
2018/5/14,highprice,7581
2018/5/14,lowprice,7435
2018/5/14,tradevolum,5679700
2018/5/15,openingprice,7589
2018/5/15,closingprice,7514
2018/5/15,highprice,7600
2018/5/15,lowprice,7480
2018/5/15,tradevolum,5821000
